#,State,Median Home Price,Median Rent Price,Home Value,Average Home Value
1,California,"$843,800 ","$1,586 ","$411,963 ","$675,063 "
2,Hawaii,"$715,900 ","$1,651 ","$417,767 ","$740,097 "
3,Washington,"$668,400 ","$1,337 ","$347,311 ","$518,215 "
4,Colorado,"$624,000 ","$1,335 ","$332,062 ","$490,123 "
5,Massachusetts,"$604,200 ","$1,336 ","$333,378 ","$514,230 "
6,Utah,"$575,100 ","$1,090 ","$347,016 ","$471,970 "
7,New York,"$559,900 ","$1,315 ","$164,003 ","$359,173 "
8,Oregon,"$527,600 ","$1,173 ","$321,006 ","$453,856 "
9,Idaho,"$521,200 ",$887 ,"$294,707 ","$428,378 "
10,New Mexico,"$518,300 ",$857 ,"$162,681 ","$250,102 "
11,Arizona,"$471,300 ","$1,097 ","$248,835 ","$357,967 "
12,Nevada,"$465,000 ","$1,159 ","$265,439 ","$369,138 "
13,New Jersey,"$454,500 ","$1,368 ","$252,282 ","$406,423 "
14,Virginia,"$447,500 ","$1,257 ","$197,895 ","$338,714 "
15,New Hampshire,"$434,100 ","$1,145 ","$240,881 ","$364,831 "
16,Rhode Island,"$429,200 ","$1,031 ","$281,162 ","$373,094 "
17,Maryland,"$416,800 ","$1,415 ","$224,163 ","$366,162 "
18,Florida,"$410,400 ","$1,218 ","$187,120 ","$298,669 "
19,Tennessee,"$402,600 ",$897 ,"$126,053 ","$239,612 "
20,Texas,"$389,100 ","$1,082 ","$151,418 ","$255,023 "
21,Georgia,"$376,700 ","$1,042 ","$146,226 ","$252,762 "
22,Alaska,"$371,500 ","$1,240 ","$187,476 ","$302,960 "
23,South Carolina,"$370,800 ",$918 ,"$131,555 ","$231,270 "
24,Connecticut,"$368,900 ","$1,201 ","$207,917 ","$316,225 "
25,Vermont,"$365,100 ",$999 ,"$194,678 ","$304,539 "
26,North Carolina,"$360,900 ",$932 ,"$146,271 ","$258,377 "
27,Minnesota,"$349,000 ","$1,010 ","$193,236 ","$301,470 "
28,Maine,"$348,600 ",$873 ,"$186,679 ","$314,191 "
29,Delaware,"$323,100 ","$1,150 ","$205,944 ","$309,966 "
30,South Dakota,"$312,700 ",$761 ,"$170,999 ","$262,373 "
31,Kansas,"$298,100 ",$863 ,"$93,675 ","$189,032 "
32,Alabama,"$295,900 ",$811 ,"$85,984 ","$179,358 "
33,West Virginia,"$291,300 ",$732 ,"$62,107 ","$126,115 "
34,Pennsylvania,"$290,700 ",$958 ,"$136,144 ","$237,674 "
35,Illinois,"$286,800 ","$1,038 ","$128,041 ","$233,443 "
36,Nebraska,"$279,900 ",$857 ,"$130,894 ","$220,718 "
37,Wisconsin,"$278,900 ",$872 ,"$147,811 ","$236,227 "
38,Louisiana,"$266,000 ",$876 ,"$104,542 ","$190,229 "
39,Iowa,"$265,700 ",$806 ,"$97,848 ","$177,976 "
40,Mississippi,"$257,300 ",$789 ,"$78,781 ","$146,876 "
41,Kentucky,"$256,700 ",$783 ,"$92,450 ","$176,324 "
42,Arkansas,"$251,900 ",$760 ,"$76,758 ","$157,696 "
43,Missouri,"$251,900 ",$843 ,"$114,580 ","$202,083 "
44,Michigan,"$249,100 ",$892 ,"$109,207 ","$207,493 "
45,Indiana,"$245,300 ",$844 ,"$111,984 ","$192,337 "
46,Oklahoma,"$242,500 ",$818 ,"$77,737 ","$157,233 "
47,Ohio,"$236,700 ",$825 ,"$105,633 ","$187,162 "
,Montana,,,,
,Wyoming,,,,
,North Dakota,,,,
