Country,year,GDP,population,Forest area (% of land area) 2020,"Foreign direct investment, net inflows (% of GDP)","Electricity production from renewable sources, excluding hydroelectric (% of total)?2015",CO2 emissions (metric tons per capita)2019
Austria,2021,"480,368.40","8,955,797",47.3,2.6,16.5,7.3
Belgium,2021,"594,104.18","11,592,952",22.8,4,20.3,8.1
Bulgaria,2021,"84,056.31","6,877,743",35.9,2.5,6.4,5.6
Croatia,2021,"68,955.08","3,899,000",34.7,6.8,10,4.1
Cyprus,2021,"28,407.87","1,244,188",18.7,-117.4,8.8,5.9
Czechia,2021,"281,777.89","10,505,772",34.7,2.7,9.2,9
Denmark,2021,"398,303.27","5,856,733",15.7,3.7,65.4,5.1
Estonia,2021,"37,191.17","1,330,932",57,19.8,14.2,7.7
Finland,2021,"297,301.88","5,541,017",73.7,8,20.1,7.4
France,2021,"2,957,879.76","67,749,632",31.5,3,6.2,4.5
Germany,2021,"4,259,934.91","83,196,078",32.7,1.7,26.3,7.9
Greece,2021,"214,873.88","10,641,221",30.3,2.9,16.9,5.6
Hungary,2021,"181,848.02","9,709,891",22.5,16.1,9.8,4.7
Ireland,2021,"504,182.60","5,033,165",11.4,16.1,25.1,7.2
Italy,2021,"2,107,702.84","59,109,668",32.3,0.9,22.5,5.3
Latvia,2021,"39,853.50","1,884,490",54.8,9.3,16.6,4
Lithuania,2021,"66,445.26","2,800,839",35.1,4.4,31.2,4.2
Luxembourg,2021,"85,506.24","640,064",34.5,-10.6,24.9,15.3
Malta,2021,"17,364.04","518,536",1.4,25.2,7.7,3.3
Netherlands,2021,"1,012,846.76","17,533,044",11,-14,12.4,8.4
Poland,2021,"679,444.83","37,747,124",31,5.5,12.7,7.8
Portugal,2021,"253,663.14","10,325,147",36.2,3.1,30.6,4.3
Romania,2021,"284,087.56","19,119,880",30.1,4.1,14.5,3.8
Slovak Republic,2021,"116,527.10","5,447,247",40.1,0.8,8.2,5.7
Slovenia,2021,"61,748.59","2,108,079",61.5,3.5,3.7,6.5
Spain,2021,"1,427,380.68","47,415,750",37.2,3.1,24.8,5.1
Sweden,2021,"635,663.80","10,415,811",68.7,8.3,16.8,3.4
